Training FedPac...
Round [115/200]	Train Loss (CE|Proto) [1.0766|0.0240]	Train Acc (Rep) [64.67]	Time [29.91s]
Round [116/200]	Train Loss (CE|Proto) [1.0020|0.0249]	Train Acc (Rep) [65.75]	Time [28.59s]
Round [117/200]	Train Loss (CE|Proto) [1.0401|0.0262]	Train Acc (Rep) [64.62]	Time [30.12s]
Round [118/200]	Train Loss (CE|Proto) [1.0476|0.0254]	Train Acc (Rep) [64.18]	Time [40.74s]
Round [119/200]	Train Loss (CE|Proto) [1.0396|0.0236]	Train Acc (Rep) [64.55]	Time [35.33s]
Round [120/200]	Train Loss (CE|Proto) [1.0997|0.0240]	Train Acc (Rep) [63.20]	Test Loss (Global|Pers) [2.0224|1.0753]	Test Acc (Global|Pers) [38.12(15.27)|64.01(15.00)]	Time [28.90s]
Round [121/200]	Train Loss (CE|Proto) [1.0690|0.0255]	Train Acc (Rep) [63.73]	Time [38.61s]
Round [122/200]	Train Loss (CE|Proto) [1.1027|0.0254]	Train Acc (Rep) [63.12]	Time [22.35s]
Round [123/200]	Train Loss (CE|Proto) [1.0538|0.0251]	Train Acc (Rep) [64.59]	Time [21.20s]
Round [124/200]	Train Loss (CE|Proto) [1.0597|0.0253]	Train Acc (Rep) [63.99]	Time [24.45s]
Round [125/200]	Train Loss (CE|Proto) [1.1536|0.0250]	Train Acc (Rep) [60.87]	Time [26.13s]
Round [126/200]	Train Loss (CE|Proto) [1.0436|0.0256]	Train Acc (Rep) [63.97]	Time [17.02s]
Round [127/200]	Train Loss (CE|Proto) [1.1004|0.0250]	Train Acc (Rep) [63.46]	Time [17.83s]
Round [128/200]	Train Loss (CE|Proto) [0.9787|0.0270]	Train Acc (Rep) [66.72]	Time [27.88s]
Round [129/200]	Train Loss (CE|Proto) [1.0151|0.0259]	Train Acc (Rep) [66.70]	Time [27.97s]
Round [130/200]	Train Loss (CE|Proto) [1.0173|0.0247]	Train Acc (Rep) [65.58]	Time [29.90s]
Round [131/200]	Train Loss (CE|Proto) [0.9720|0.0251]	Train Acc (Rep) [67.06]	Time [26.11s]
Round [132/200]	Train Loss (CE|Proto) [1.0533|0.0264]	Train Acc (Rep) [63.29]	Time [42.64s]
Round [133/200]	Train Loss (CE|Proto) [0.9938|0.0270]	Train Acc (Rep) [66.40]	Time [26.14s]
Round [134/200]	Train Loss (CE|Proto) [1.0246|0.0270]	Train Acc (Rep) [65.37]	Time [32.01s]
Round [135/200]	Train Loss (CE|Proto) [0.9934|0.0270]	Train Acc (Rep) [65.93]	Time [28.55s]
Round [136/200]	Train Loss (CE|Proto) [1.0105|0.0265]	Train Acc (Rep) [65.47]	Time [24.56s]
Round [137/200]	Train Loss (CE|Proto) [1.0431|0.0275]	Train Acc (Rep) [64.90]	Time [19.09s]
Round [138/200]	Train Loss (CE|Proto) [0.9726|0.0284]	Train Acc (Rep) [66.89]	Time [30.83s]
Round [139/200]	Train Loss (CE|Proto) [1.0060|0.0267]	Train Acc (Rep) [66.04]	Time [31.07s]
Round [140/200]	Train Loss (CE|Proto) [1.0118|0.0263]	Train Acc (Rep) [64.87]	Test Loss (Global|Pers) [2.0017|1.0439]	Test Acc (Global|Pers) [38.02(15.47)|65.00(14.23)]	Time [22.06s]
Round [141/200]	Train Loss (CE|Proto) [1.0303|0.0276]	Train Acc (Rep) [64.73]	Time [22.87s]
Round [142/200]	Train Loss (CE|Proto) [0.9375|0.0286]	Train Acc (Rep) [68.93]	Time [24.45s]
Round [143/200]	Train Loss (CE|Proto) [1.0362|0.0262]	Train Acc (Rep) [65.56]	Time [39.42s]
Round [144/200]	Train Loss (CE|Proto) [1.0626|0.0277]	Train Acc (Rep) [63.41]	Time [25.82s]
Round [145/200]	Train Loss (CE|Proto) [1.0168|0.0284]	Train Acc (Rep) [65.92]	Time [26.22s]
Round [146/200]	Train Loss (CE|Proto) [1.0503|0.0274]	Train Acc (Rep) [63.59]	Time [28.36s]
Round [147/200]	Train Loss (CE|Proto) [1.0183|0.0285]	Train Acc (Rep) [65.47]	Time [26.09s]
Round [148/200]	Train Loss (CE|Proto) [0.9944|0.0295]	Train Acc (Rep) [67.04]	Time [29.24s]
Round [149/200]	Train Loss (CE|Proto) [0.9994|0.0290]	Train Acc (Rep) [65.78]	Time [29.75s]
Round [150/200]	Train Loss (CE|Proto) [1.0631|0.0291]	Train Acc (Rep) [63.62]	Time [26.84s]
Round [151/200]	Train Loss (CE|Proto) [0.9492|0.0293]	Train Acc (Rep) [68.34]	Time [27.87s]
Round [152/200]	Train Loss (CE|Proto) [0.9976|0.0290]	Train Acc (Rep) [65.90]	Time [29.30s]
Round [153/200]	Train Loss (CE|Proto) [0.9807|0.0270]	Train Acc (Rep) [67.25]	Time [40.09s]
Round [154/200]	Train Loss (CE|Proto) [0.9778|0.0279]	Train Acc (Rep) [67.05]	Time [21.14s]
Round [155/200]	Train Loss (CE|Proto) [1.0308|0.0290]	Train Acc (Rep) [65.15]	Time [27.74s]
Round [156/200]	Train Loss (CE|Proto) [0.9713|0.0284]	Train Acc (Rep) [66.99]	Time [35.97s]
Round [157/200]	Train Loss (CE|Proto) [1.1162|0.0301]	Train Acc (Rep) [62.32]	Time [16.71s]
Round [158/200]	Train Loss (CE|Proto) [1.0436|0.0316]	Train Acc (Rep) [64.81]	Time [32.70s]
Round [159/200]	Train Loss (CE|Proto) [1.0623|0.0299]	Train Acc (Rep) [64.39]	Time [25.52s]
Round [160/200]	Train Loss (CE|Proto) [0.9146|0.0299]	Train Acc (Rep) [69.59]	Test Loss (Global|Pers) [1.9829|1.0174]	Test Acc (Global|Pers) [39.13(15.81)|65.75(14.42)]	Time [25.60s]
Round [161/200]	Train Loss (CE|Proto) [1.0046|0.0292]	Train Acc (Rep) [66.50]	Time [22.64s]
Round [162/200]	Train Loss (CE|Proto) [1.0751|0.0294]	Train Acc (Rep) [64.78]	Time [34.59s]
Round [163/200]	Train Loss (CE|Proto) [0.9042|0.0295]	Train Acc (Rep) [70.05]	Time [27.17s]
Round [164/200]	Train Loss (CE|Proto) [0.9976|0.0285]	Train Acc (Rep) [66.24]	Time [32.52s]
Round [165/200]	Train Loss (CE|Proto) [1.1019|0.0292]	Train Acc (Rep) [62.17]	Time [19.71s]
Round [166/200]	Train Loss (CE|Proto) [1.0550|0.0311]	Train Acc (Rep) [64.96]	Time [28.44s]
Round [167/200]	Train Loss (CE|Proto) [1.0175|0.0295]	Train Acc (Rep) [66.51]	Time [39.16s]
Round [168/200]	Train Loss (CE|Proto) [1.0265|0.0298]	Train Acc (Rep) [65.13]	Time [31.90s]
Round [169/200]	Train Loss (CE|Proto) [0.9980|0.0306]	Train Acc (Rep) [65.59]	Time [31.89s]
Round [170/200]	Train Loss (CE|Proto) [0.9079|0.0289]	Train Acc (Rep) [70.02]	Time [27.12s]
Round [171/200]	Train Loss (CE|Proto) [0.9846|0.0296]	Train Acc (Rep) [65.25]	Time [27.21s]
Round [172/200]	Train Loss (CE|Proto) [1.0067|0.0293]	Train Acc (Rep) [65.08]	Time [31.28s]
Round [173/200]	Train Loss (CE|Proto) [0.9436|0.0299]	Train Acc (Rep) [69.18]	Time [25.28s]
Round [174/200]	Train Loss (CE|Proto) [0.9862|0.0292]	Train Acc (Rep) [66.08]	Time [56.99s]
Round [175/200]	Train Loss (CE|Proto) [0.9573|0.0296]	Train Acc (Rep) [68.04]	Time [58.27s]
Round [176/200]	Train Loss (CE|Proto) [0.9825|0.0294]	Train Acc (Rep) [66.58]	Time [37.84s]
Round [177/200]	Train Loss (CE|Proto) [1.0709|0.0316]	Train Acc (Rep) [64.03]	Time [36.11s]
Round [178/200]	Train Loss (CE|Proto) [1.0237|0.0335]	Train Acc (Rep) [65.06]	Time [45.96s]
Round [179/200]	Train Loss (CE|Proto) [0.9519|0.0308]	Train Acc (Rep) [68.50]	Time [35.14s]
Round [180/200]	Train Loss (CE|Proto) [0.9994|0.0306]	Train Acc (Rep) [67.31]	Test Loss (Global|Pers) [1.9630|0.9884]	Test Acc (Global|Pers) [40.28(15.56)|66.14(14.32)]	Time [41.07s]
Round [181/200]	Train Loss (CE|Proto) [0.9558|0.0300]	Train Acc (Rep) [68.21]	Time [36.29s]
Round [182/200]	Train Loss (CE|Proto) [1.0134|0.0315]	Train Acc (Rep) [66.57]	Time [44.39s]
Round [183/200]	Train Loss (CE|Proto) [1.0506|0.0309]	Train Acc (Rep) [65.32]	Time [17.38s]
Round [184/200]	Train Loss (CE|Proto) [0.9977|0.0324]	Train Acc (Rep) [66.88]	Time [30.77s]
Round [185/200]	Train Loss (CE|Proto) [0.9808|0.0309]	Train Acc (Rep) [67.94]	Time [31.84s]
Round [186/200]	Train Loss (CE|Proto) [0.9509|0.0311]	Train Acc (Rep) [67.83]	Time [39.18s]
Round [187/200]	Train Loss (CE|Proto) [1.0173|0.0318]	Train Acc (Rep) [66.37]	Time [16.15s]
Round [188/200]	Train Loss (CE|Proto) [0.9786|0.0299]	Train Acc (Rep) [67.70]	Time [21.72s]
Round [189/200]	Train Loss (CE|Proto) [0.9424|0.0312]	Train Acc (Rep) [68.22]	Time [30.71s]
Round [190/200]	Train Loss (CE|Proto) [0.9018|0.0315]	Train Acc (Rep) [69.34]	Time [26.19s]
Round [191/200]	Train Loss (CE|Proto) [0.9417|0.0299]	Train Acc (Rep) [68.85]	Time [38.52s]
Round [192/200]	Train Loss (CE|Proto) [0.9392|0.0285]	Train Acc (Rep) [68.15]	Time [38.52s]
Round [193/200]	Train Loss (CE|Proto) [0.9868|0.0302]	Train Acc (Rep) [67.35]	Time [23.78s]
Round [194/200]	Train Loss (CE|Proto) [0.9446|0.0303]	Train Acc (Rep) [68.11]	Time [27.65s]
Round [195/200]	Train Loss (CE|Proto) [0.9500|0.0305]	Train Acc (Rep) [68.42]	Time [25.21s]
Round [196/200]	Train Loss (CE|Proto) [0.9534|0.0309]	Train Acc (Rep) [67.82]	Time [23.74s]
Round [197/200]	Train Loss (CE|Proto) [0.9999|0.0321]	Train Acc (Rep) [66.11]	Time [33.08s]
Round [198/200]	Train Loss (CE|Proto) [0.9230|0.0328]	Train Acc (Rep) [69.42]	Time [26.18s]
Round [199/200]	Train Loss (CE|Proto) [0.9248|0.0320]	Train Acc (Rep) [69.60]	Time [21.32s]
Round [200/200]	Train Loss (CE|Proto) [0.9672|0.0321]	Train Acc (Rep) [66.53]	Test Loss (Global|Pers) [1.9430|0.9836]	Test Acc (Global|Pers) [39.92(16.29)|66.99(13.96)]	Time [16.99s]
Method took (28.75, 6.96) seconds per training iteration
Method took (5770.63) total seconds
